N1	N2	W
59	55	1
60	55	1
60	55	1
60	55	1
61	55	1
61	55	1
64	55	1
64	55	1
67	55	1
68	55	1
79	55	1
79	55	1
87	55	1
87	55	1
88	55	1
89	55	1
89	55	1
90	55	1
90	55	1
91	55	1
92	55	1
92	55	1
93	55	1
94	55	1
94	55	1
95	55	1
98	55	1
100	55	1
101	55	1
101	55	1
109	55	1
111	55	1
112	55	1
113	55	1
128	55	1
128	55	1
128	55	1
129	55	1
129	55	1
139	55	1
140	55	1
143	55	1
144	55	1
148	55	1
151	55	1
151	55	1
152	55	1
152	55	1
152	55	1
153	55	1
153	55	1
154	55	1
155	55	1
159	55	1
159	55	1
160	55	1
166	55	1
170	55	1
171	55	1
172	55	1
176	55	1
200	55	1
204	55	1
206	55	1
206	55	1
207	55	1
208	55	1
208	55	1
210	55	1
220	55	1
241	55	1
241	55	1
242	55	1
242	55	1
243	55	1
244	55	1
245	55	1
247	55	1
247	55	1
248	55	1
248	55	1
249	55	1
250	55	1
273	55	1
279	55	1
281	55	1
281	55	1
1	56	1
2	56	1
2	56	1
7	56	1
7	56	1
8	56	1
13	56	1
13	56	1
28	56	1
28	56	1
31	56	1
32	56	1
33	56	1
34	56	1
37	56	1
38	56	1
44	56	1
54	56	1
54	56	1
55	56	1
55	56	1
55	56	1
28	56	1
35	56	1
57	56	1
98	56	1
99	56	1
100	56	1
101	56	1
102	56	1
109	56	1
169	56	1
170	56	1
173	56	1
211	56	1
218	56	1
252	56	1
253	56	1
255	56	1
256	56	1
257	56	1
258	56	1
259	56	1
260	56	1
261	56	1
262	56	1
57	56	1
57	56	1
58	56	1
59	56	1
59	56	1
60	56	1
61	56	1
62	56	1
63	56	1
64	56	1
64	56	1
65	56	1
66	56	1
67	56	1
68	56	1
68	56	1
69	56	1
71	56	1
72	56	1
75	56	1
109	56	1
111	56	1
112	56	1
112	56	1
113	56	1
152	56	1
153	56	1
153	56	1
158	56	1
158	56	1
159	56	1
159	56	1
160	56	1
162	56	1
163	56	1
174	56	1
175	56	1
179	56	1
180	56	1
211	56	1
211	56	1
232	56	1
234	56	1
235	56	1
241	56	1
246	56	1
249	56	1
253	56	1
265	56	1
266	56	1
